S.No,DstMAC,SrcMAC,SrcAd,DstAd,SrcPort,DstPort,PacketLength
1,ec:84:b4:3c:ed:50,d4:61:9d:2b:dd:9a,192.168.1.9,172.217.167.14,55092,443,407
2,ec:84:b4:3c:ed:50,d4:61:9d:2b:dd:9a,192.168.1.9,172.217.167.14,55092,443,1466
3,ec:84:b4:3c:ed:50,d4:61:9d:2b:dd:9a,192.168.1.9,172.217.167.14,55092,443,281
4,ec:84:b4:3c:ed:50,d4:61:9d:2b:dd:9a,192.168.1.9,172.217.167.14,55092,443,97
5,d4:61:9d:2b:dd:9a,ec:84:b4:3c:ed:50,192.168.1.1,192.168.1.9,,,60
6,ec:84:b4:3c:ed:50,d4:61:9d:2b:dd:9a,192.168.1.9,192.168.1.1,,,42
7,d4:61:9d:2b:dd:9a,ec:84:b4:3c:ed:50,172.217.167.14,192.168.1.9,443,55092,66
8,d4:61:9d:2b:dd:9a,ec:84:b4:3c:ed:50,172.217.167.14,192.168.1.9,443,55092,66
9,d4:61:9d:2b:dd:9a,ec:84:b4:3c:ed:50,172.217.167.14,192.168.1.9,443,55092,66
10,d4:61:9d:2b:dd:9a,ec:84:b4:3c:ed:50,172.217.167.14,192.168.1.9,443,55092,66
11,ec:84:b4:3c:ed:50,d4:61:9d:2b:dd:9a,192.168.1.9,182.79.253.150,55292,443,1466
12,ec:84:b4:3c:ed:50,d4:61:9d:2b:dd:9a,192.168.1.9,182.79.253.150,55292,443,89
13,d4:61:9d:2b:dd:9a,ec:84:b4:3c:ed:50,182.79.253.150,192.168.1.9,443,55292,66
14,d4:61:9d:2b:dd:9a,ec:84:b4:3c:ed:50,182.79.253.150,192.168.1.9,443,55292,1466
15,d4:61:9d:2b:dd:9a,ec:84:b4:3c:ed:50,182.79.253.150,192.168.1.9,443,55292,1466
S.No,DstMAC,SrcMAC,SrcAd,DstAd,SrcPort,DstPort,PacketLength
1,ff:ff:ff:ff:ff:ff,d4:be:d9:ea:d4:4d,172.50.33.33,172.50.34.174,,,60
2,ff:ff:ff:ff:ff:ff,d4:be:d9:ea:d4:4d,172.50.33.33,172.50.34.185,,,60
3,ff:ff:ff:ff:ff:ff,0:1e:c0:b6:8b:17,192.168.40.91,192.168.40.91,,,60
4,ff:ff:ff:ff:ff:ff,0:15:5d:20:c6:0,172.50.33.204,172.50.33.214,,,60
5,d4:ae:52:bc:de:e6,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.32.10,52366,53,83
6,d4:be:d9:e8:4c:a7,d4:ae:52:bc:de:e6,172.50.32.10,172.50.33.184,53,52366,118
7,d4:ae:52:bc:de:e6,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.32.10,52366,53,83
8,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,172.217.27.206,50535,443,193
9,0:c0:26:86:41:7c,d4:be:d9:e8:4c:a7,172.50.33.184,172.217.27.206,50535,443,177
10,d4:be:d9:e8:4c:a7,d4:ae:52:bc:de:e6,172.50.32.10,172.50.33.184,53,52366,130
11,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.217.27.206,172.50.33.184,443,50535,60
12,d4:be:d9:e8:4c:a7,0:c0:26:86:41:7c,172.217.27.206,172.50.33.184,443,50535,60
13,ff:ff:ff:ff:ff:ff,0:15:5d:21:56:e,172.50.33.42,172.50.33.95,,,60
14,d4:be:d9:e8:4c:a7,c8:1f:66:20:e6:12,172.50.33.246,172.50.33.184,,,60
15,c8:1f:66:20:e6:12,d4:be:d9:e8:4c:a7,172.50.33.184,172.50.33.246,,,42
16,ff:ff:ff:ff:ff:ff,0:c0:26:86:41:7c,172.50.32.2,172.50.33.1,,,60
17,ff:ff:ff:ff:ff:ff,50:9a:4c:43:ad:9,172.50.34.111,172.50.33.82,,,60
18,ff:ff:ff:ff:ff:ff,b8:ca:3a:8a:10:dd,172.50.32.70,172.50.33.132,,,60
19,ff:ff:ff:ff:ff:ff,b8:ca:3a:86:45:8d,172.50.34.100,172.50.33.5,,,60
20,ff:ff:ff:ff:ff:ff,0:15:5d:20:9d:1d,172.50.32.88,172.50.32.122,,,60
